Timestamp,Did you pass your May '23 Level II exam? ,What other designations have you obtained or are actively pursuing?,What degrees have you obtained?,What did you average on the CFAI Mocks (in %)?,What did you average on the Kaplan Schweser Mocks (in %)?,What did you average on the Mark Meldrum Mocks (in %)?,"How confident did you feel in your exam performance, right after the exam?",How many hours did you study for the exam?,What was your professional situation while studying for the exam?,What resources did you utilize in studying for the Level II exam?,Did you ask questions on r/CFA?,Did you use search to find answers on r/CFA?,When did you begin studying for the exam?,When did you finish the curriculum (start revision/review)?,Was it your first time sitting for Level II?,How many full mock exams did you take?,How would you rank the four most challenging topics to study for the exam? [Hardest],How would you rank the four most challenging topics to study for the exam? [2nd hardest],How would you rank the four most challenging topics to study for the exam? [3rd hardest],How would you rank the four most challenging topics to study for the exam? [4th hardest],"In hindsight, what could you have done to improve your score?",Maximizing the use of question banks,Maximizing the number of mocks taken,Maximizing the number of hours spent on revision,Starting revision as early as possible,Focusing on remembering facts over understanding the material (for the hardest parts of the curriculum),Learning formulas by heart,Spaced repetition,Requesting help online,Why are you undertaking the journey towards the CFA?,What degrees have you obtained?,What did you average on the CFAI Mocks (in %)?,What did you average on the Kaplan Schweser Mocks (in %)?,What did you average on the Mark Meldrum Mocks (in %)?,"How confident did you feel in your exam performance, right after the exam?",How many hours did you study for the exam?,What was your professional situation while studying for the exam?,What resources did you utilize in studying for the Level II exam?,Did you ask question on r/CFA?,Did you use search to find answers on r/CFA?,When did you begin studying for the exam?,When did you finish the curriculum (start revision)?,Was it your first time sitting for Level II?,How many full mock exams did you take?,How would you rank the four most challenging topics to study for the exam? [Hardest],How would you rank the four most challenging topics to study for the exam? [2nd hardest],How would you rank the four most challenging topics to study for the exam? [3rd hardest],How would you rank the four most challenging topics to study for the exam? [4th hardest],"In hindsight, what could you have done to improve your score?",Maximizing the use of question banks,Maximizing the number of mocks taken,Maximizing the number of hours spent on revision,Starting revision as early as possible,Focusing on remembering facts over understanding the material (for the hardest parts of the curriculum),Learning formulas by heart,Spaced repetition,Requesting help online,Why are you undertaking the journey towards the CFA?,What is your age?,Is English your first language?,To what capacity did you utilize r/CFA?,Has your success in the CFA Level 1 helped your career so far?,How many years of professional investment-related experience do you have?,Ethics and Professional Standards,Quantitative Methods,Economics,Financial Statement Analysis,Corporate Finance,Equity,Fixed Income,Derivatives,Alternative Investments,Portfolio Management,Ethics and Professional Standards,Quantitative Methods,Economics,Financial Statement Analysis,Corporate Finance,Equity,Fixed Income,Derivatives,Alternative Investments,Portfolio Management,Any feedback?
7/5/2023 21:15:47,Yes,CPA,"Bachelor's Degree / Pre-Work Masters (Finance, Econ, Accounting related)",69,69,69,5,Between 50 and 100 hours,Full-Time Work,"CFAI Mocks, CFAI QBank, CFAI PDF Books, Kaplan Schweser QBank, Mark Meldrum (paid), UWorld QBank, ChatGPT, Spaced Repetition (flash cards, Anki, Quizlet)",Yes,Yes,9 months prior,2 months prior,No,3,Financial Reporting & Analysis,Fixed Income,Derivatives,Equity Investments,"Do more practice questions, Take more mock exams, Finish the curriculum earlier",2,3,2,3,4,4,,,I want a higher salary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50+,Yes,I practically lived there,"Yes, it has moderately helped",0,Between 70% and 50%,Between 70% and 50%,Between 70% and 50%,Above 70%,Above 70%,Above 70%,Below 50%,Above 70%,Above 70%,Between 70% and 50%,,,,,,,,,,,
7/5/2023 21:47:49,No,FSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MBA,45,55,62,3,Between 150 and 200 hours,Student,"CFAI PDF Books, Kaplan Schweser Mocks, Kaplan Schweser QBank, Kaplan Schweser Books",Yes,Yes,1 month prior,1 month prior,Yes,2,Financial Reporting & Analysis,Portfolio Management,Quantitative Methods,Ethics,"Finish the curriculum earlier, Spend more time on review",5,5,5,5,5,3,3,3,I want to improve my professional marketability,20-24,Yes,Not at all,"Yes, it has moderately helped",2-3,,,,,,,,,,,Below 50%,Between 70% and 50%,Below 50%,Below 50%,Below 50%,Between 70% and 50%,Below 50%,Between 70% and 50%,Below 50%,Between 70% and 50%,
7/7/2023 17:43:01,Yes,CFP,"Bachelor's Degree / Pre-Work Masters (Non-Finance, Econ, Accounting related)",74,65,74,4,Between 350 and 400 hours,Full-Time Work,"CFAI Mocks, CFAI QBank, CFAI PDF Books, Kaplan Schweser Mocks, Kaplan Schweser QBank, Kaplan Schweser Books, Kaplan Schweser Videos, Mark Meldrum (paid), UWorld QBank",No,Yes,9 months prior,2 months prior,Yes,7,Financial Reporting & Analysis,Quantitative Methods,Alternative Investments,Derivatives,"Spend more time on review, Practice spaced repetition (flashcards, coming back to topics often)",5,4,4,4,2,3,3,2,"I want to improve my professional marketability, I want to change careers, I want to challenge myself, I want a higher salary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-34,Yes,I practically lived there,"Yes, it has moderately helped",2-3,Above 70%,Between 70% and 50%,Above 70%,Between 70% and 50%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,,,,,,,,,,,
7/7/2023 17:44:39,Yes,None,"Bachelor's Degree / Pre-Work Masters (Finance, Econ, Accounting related)",65,63,65,3,Between 350 and 400 hours,Full-Time Work,"CFAI Mocks, CFAI QBank, Kaplan Schweser Mocks, Kaplan Schweser QBank, Kaplan Schweser Books, Kaplan Schweser Secret Sauce, Kaplan Schweser Videos, Mark Meldrum (paid), ChatGPT",Yes,No,6 months prior,1 month prior,Yes,9,Derivatives,Financial Reporting & Analysis,Quantitative Methods,Fixed Income,"Finish the curriculum earlier, Spend more time on review, Other",5,5,5,4,3,2,3,3,"I want to improve my professional marketability, I want to challenge myself, I want a higher salary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-29,No,I practically lived there,It has had no impact on my career so far,2-3,Below 50%,Between 70% and 50%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Between 70% and 50%,Above 70%,Above 70%,,,,,,,,,,,
7/7/2023 17:45:39,Yes,None,"Bachelor's Degree / Pre-Work Masters (Finance, Econ, Accounting related), Post-Work Masters (Non-MBA, MS in Finance)",65,,65,5,Between 300 and 350 hours,Full-Time Work,"CFAI Mocks, CFAI QBank, Mark Meldrum (paid), 300hours.com",No,No,6 months prior,2 months prior,Yes,4,Financial Reporting & Analysis,Quantitative Methods,Derivatives,Economics,I do not believe I could have done anything specific to improve my score,5,3,5,4,2,5,5,2,"I want to improve my professional marketability, I want to learn what the CFA curriculum has to offer, I want to challenge myself",,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-34,Yes,Contributor - I comment and help others if I can,"Yes, it has moderately helped",10+,Above 70%,Above 70%,Between 70% and 50%,Between 70% and 50%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,,,,,,,,,,,Glad you brought this back
7/7/2023 17:52:01,Yes,PMP,"Bachelor's Degree / Pre-Work Masters (Finance, Econ, Accounting related), Post-Work Masters (Non-MBA, MS in Finance)",,,,5,Over 600 hours,Full-Time Work,"CFAI QBank, CFAI PDF Books, Kaplan Schweser Books, Kaplan Schweser Secret Sauce, Mark Meldrum (paid), AnalystForum",Yes,Yes,9 months prior,5 months prior or earlier,Yes,0,Derivatives,Financial Reporting & Analysis,Fixed Income,Economics,I do not believe I could have done anything specific to improve my score,5,1,5,3,4,5,5,2,"I want to learn what the CFA curriculum has to offer, Other",,,,,,,,,,,,,,,,,,,,,,,,,,,,,40-50,Yes,I practically lived there,It has had no impact on my career so far,2-3,Below 50%,Between 70% and 50%,Between 70% and 50%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Between 70% and 50%,,,,,,,,,,,
7/7/2023 17:58:20,Yes,None,"Bachelor's Degree / Pre-Work Masters (Non-Finance, Econ, Accounting related)",59,,,3,Between 300 and 350 hours,Full-Time Work,"CFAI Mocks, CFAI QBank, CFAI PDF Books, ChatGPT, Other",Yes,Yes,6 months prior,2 months prior,Yes,3,Quantitative Methods,Financial Reporting & Analysis,Ethics,Derivatives,"Do more practice questions, Finish the curriculum earlier, Spend more time on review",3,5,5,4,1,3,3,4,"I want to improve my professional marketability, I want to learn what the CFA curriculum has to offer, I want a higher salary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,20-24,No,"If I see it on my front page and the topic interests me, I'll check it out","Yes, it has moderately helped",0-1,Below 50%,Above 70%,Above 70%,Between 70% and 50%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Between 70% and 50%,,,,,,,,,,,
7/7/2023 18:14:26,Yes,CPA,"Bachelor's Degree / Pre-Work Masters (Finance, Econ, Accounting related)",60,,50,3,Between 300 and 350 hours,Full-Time Work,"CFAI Mocks, CFAI QBank, Mark Meldrum (paid), UWorld QBank, Wiley Mocks",No,No,6 months prior,2 months prior,Yes,6,Derivatives,Economics,Quantitative Methods,Ethics,Do more practice questions,5,3,5,5,2,2,4,2,"I want to challenge myself, My employer is encouraging me to pursue the CFA exams, I want a higher salary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-29,Yes,"If I see it on my front page and the topic interests me, I'll check it out",It has had no impact on my career so far,2-3,Between 70% and 50%,Between 70% and 50%,Between 70% and 50%,Above 70%,Between 70% and 50%,Above 70%,Above 70%,Between 70% and 50%,Above 70%,Above 70%,,,,,,,,,,,
7/7/2023 18:24:05,Yes,None,MS in Finance,78,77,,5,Between 250 and 300 hours,Full-Time Work,"CFAI Mocks, CFAI QBank, Kaplan Schweser Mocks, Kaplan Schweser QBank, Kaplan Schweser Books, Kaplan Schweser Secret Sauce, Kaplan Schweser Videos",No,Yes,3 months prior,0.5 month prior,Yes,4,Quantitative Methods,Portfolio Management,Financial Reporting & Analysis,Fixed Income,I do not believe I could have done anything specific to improve my score,4,4,4,3,5,2,1,1,"I want to improve my professional marketability, I want to learn what the CFA curriculum has to offer, My employer is encouraging me to pursue the CFA exams, I want a higher salary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-29,No,User - I come here to see if there is help,"Yes, it has moderately helped",1-2,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,,,,,,,,,,,
7/7/2023 18:26:35,Yes,FRM,MS in Finance,,,,5,Between 250 and 300 hours,Full-Time Work,"CFAI QBank, CFAI PDF Books, Mark Meldrum (paid)",Yes,Yes,2 months prior,0.5 month prior,No,0,Ethics,Financial Reporting & Analysis,Quantitative Methods,Economics,I do not believe I could have done anything specific to improve my score,5,1,3,3,2,5,4,4,"I want to improve my professional marketability, I want a higher salary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-29,No,Contributor - I comment and help others if I can,It has had no impact on my career so far,0-1,Between 70% and 50%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Between 70% and 50%,Above 70%,,,,,,,,,,,
